'ICS',2015-06-04 03:46:27.180506
'PCS',2015-06-04 03:46:41.728225
'ICS',2015-06-04 05:47:52.960916
'MOBILE',2015-06-04 05:48:06.383472
'PCS',2015-06-05 08:53:17.885875
'ICS',2015-06-05 09:11:21.376728
'ICS',2015-06-05 09:11:48.791676
'ICS',2015-06-05 09:12:39.832915
'ICS',2015-06-08 09:51:18.463220
'ICS',2015-06-08 09:51:50.587989
'ICS',2015-06-08 10:01:18.356201
'FDS',2015-06-08 10:09:46.086779
'MOBILE',2015-06-08 10:12:04.724988
'PCS',2015-06-08 10:13:16.140635
'ICS',2015-06-09 05:32:54.102310
'ICS',2015-06-09 07:25:30.352523
'FDS',2015-06-09 07:26:38.937013
'ICS',2015-06-25 13:15:10.968150
'ICS',2015-06-25 13:19:54.372665
